latitude,longitude,mag
61.8238,-148.9406,1.8
65.4448,-144.7278,1.7
36.6730003,-121.1856689,1.44
58.3526,-151.8708,2.5
74.3368,-92.4872,5.2
37.5726662,-118.7795029,1.58
36.0904999,-120.9211655,1.62
58.884,-153.1944,2.2
39.4645004,-122.9335022,2.59
61.8127,-148.9061,1.7
61.8227,-148.9573,1.9
35.5701675,-120.8251648,1.35
9.9108,125.4605,6.5
33.6358333,-116.677,0.88
63.1237,-150.6511,2
63.1056,-148.464,2.5
18.3055,-155.459671,2.53
18.4066,-67.3588,1.8
39.9923,42.762,4.3
33.4915,-116.4876667,0.21
65.3928,-144.7485,2
-14.7009,-77.3749,4.5
33.2093333,-115.581,1.54
62.8723,-148.7701,1.8
61.724,-148.1694,1.4
61.7483,-148.1738,1.6
34.1305,-117.046,3.44
65.2256,-149.0539,1.1
33.5986667,-116.815,0.49
33.6538333,-116.7523333,1.04
39.5591,26.2027,4.5
19.4986668,-155.6710052,2.28
-29.7725,-66.7322,4.5
65.4715,-150.076,1.2
-10.3527,161.4364,4.9
63.0186,-152.828,1.5
17.538,-65.7819,2.2
34.1948333,-117.5313333,1.04
-21.1055,-175.1961,5.2
38.8223343,-122.796669,2.28
34.1658333,-116.801,1.14
38.8359985,-122.8304977,0.85
35.9878333,-117.9241667,0.67
33.3821667,-116.359,0.88
38.7941666,-122.8570023,0.94
35.5704994,-120.8351669,2.69
61.7456,-148.1921,1.1
36.1042,70.4583,4.6
61.6972,-148.1694,2.8
61.7314,-148.267,2.8
61.712,-148.2298,0.9
61.7382,-148.229,1.4
38.3874,-118.8917,1.3
61.7449,-148.227,1.6
19.224,-65.2433,3.4
38.7989998,-122.8239975,1.24
38.8083344,-122.8153305,2.35
19.4325,-65.111,3.4
36.702,-116.4567,1.2
-17.8978,-12.9016,5.3
44.876,-112.0238333,0.8
19.4645,-65.0859,3.2
36.3301667,-89.5528333,1.59
61.3319,-151.2032,1.6
38.841835,-122.8326645,1.12
34.0435,-117.1671667,0.99
61.7968,-149.8348,1.8
58.8635,-153.2432,3
61.7076,-153.8798,1.7
19.1098,-66.4507,2.8
60.3549,-146.8486,1.9
38.8356667,-122.7829971,1.21
19.3713341,-155.5008392,2.56
38.5413322,-122.9886703,1.96
61.459,-150.6602,2.7
17.8654,-67.1365,2.1
33.1543333,-116.4433333,1.22
33.5945,-116.8103333,0.43
61.2196,-150.8183,2.3
38.8113327,-122.8263321,0.73
59.7148,-152.3182,1.6
35.9928333,-116.0828333,2.31
61.6437,-151.0272,1.6
16.8158,-85.8297,4.5
33.4831667,-116.4625,0.86
33.4828333,-116.4633333,0.83
63.1382,-150.5464,1.7
3.2167,98.5126,4.3
60.9974,-150.376,2.6
58.8669,-153.2109,2.3
44.8876667,-111.4908333,1.08
33.5,-116.7885,0.93
