Iestādes nosaukums,name,institution_id,LON,LAT,Vēsturiskie nosaukumi,Veids,Tips,Reģistrācijas numurs,Juridiskais statuss,Reģistrācijas datums,Apliecības izdošanas datums,LR IZM iestādes kods,Dibināšanas datums,Adrese,Adreses kods,Pilsēta,Priekšpilsēta,Iela,Mājas numurs,Pasta indekss,Mācību telpu platība,E-pasts,Mājas lapas adrese,Akreditācija no,Akreditācija līdz,Akreditācijas numurs,Apkaimes nosaukums
Rīgas 104. pirmsskolas izglītības iestāde,Rīgas 104. pirmsskolas izglītības iestāde,1482,"24,007702","56,962526",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901764,Pastarpinātās pārvaldes iestāde,20.11.2001,20.11.2001,350113,20.11.2001,"SLOKAS IELA 207, KURZEMES RAJONS, RĪGA, LV-1069",10000,RĪGA,KURZEMES RAJONS,SLOKAS IELA,207,LV-1069,2476,r104pii@riga.lv,,,,,Imanta
Rīgas 106. pirmsskolas izglītības iestāde,Rīgas 106. pirmsskolas izglītības iestāde,878,"24,181809","56,96314",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901852,Pastarpinātās pārvaldes iestāde,12.12.2001,12.12.2001,370118,12.12.2001,"ŪNIJAS IELA 83, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,ŪNIJAS IELA,83,LV-1084,2557,r106pii@riga.lv,,,,,Purvciems
Rīgas 11. pirmsskolas izglītības iestāde,Rīgas 11. pirmsskolas izglītības iestāde,1076,"24,092036","56,941842",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901653,Pastarpinātās pārvaldes iestāde,25.09.2001,17.01.2011,380102,25.09.2001,"RAŅĶA DAMBIS 3, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1007",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,RAŅĶA DAMBIS,3,LV-1007,2292,r11pii@riga.lv,,,,,Āgenskalns
Rīgas 110. pirmsskolas izglītības iestāde,Rīgas 110. pirmsskolas izglītības iestāde,1412,"24,090335","57,035733",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901911,Pastarpinātās pārvaldes iestāde,23.01.2002,23.01.2002,390115,23.01.2002,"BALTĀSBAZNĪCAS IELA 29, ZIEMEĻU RAJONS, RĪGA, LV-1015",10000,RĪGA,ZIEMEĻU RAJONS,BALTĀSBAZNĪCAS IELA,29,LV-1015,2770,r110pii@riga.lv,,,,,Vecmilgrāvis
Rīgas 112. pirmsskolas izglītības iestāde,Rīgas 112. pirmsskolas izglītības iestāde,1168,"24,218175","56,987722",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901846,Pastarpinātās pārvaldes iestāde,07.12.2001,07.12.2001,370116,07.12.2001,"BRĪVĪBAS GATVE 363, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,BRĪVĪBAS GATVE,363,LV-1024,897,r112pii@riga.lv,,,,,Jugla
Rīgas 123. pirmsskolas izglītības iestāde,Rīgas 123. pirmsskolas izglītības iestāde,937,"24,07053","56,945466",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901731,Pastarpinātās pārvaldes iestāde,25.10.2001,25.10.2001,350104,25.10.2001,"KRISTAPA IELA 39, KURZEMES RAJONS, RĪGA, LV-1046",10000,RĪGA,KURZEMES RAJONS,KRISTAPA IELA,39,LV-1046,1016,r123pii@riga.lv,www.e-skola.lv,,,,Āgenskalns
"Rīgas 124. pirmsskolas izglītības iestāde ""Dzērvenīte""","Rīgas 124. pirmsskolas izglītības iestāde ""Dzērvenīte""",1042,"24,093404","56,917518",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901889,Pastarpinātās pārvaldes iestāde,15.01.2002,15.01.2002,380116,15.01.2002,"BĒRZUPES IELA 3, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,BĒRZUPES IELA,3,LV-1004,922,rpiidzer@riga.lv,,,,,Ziepniekkalns
Rīgas 125. pirmsskolas izglītības iestāde,Rīgas 125. pirmsskolas izglītības iestāde,923,"24,171386","56,926632",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901961,Pastarpinātās pārvaldes iestāde,08.02.2002,08.02.2002,360115,08.02.2002,"SALACAS IELA 28, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,SALACAS IELA,28,LV-1019,959,r125pii@riga.lv,,,,,Maskavas forstate
Rīgas 126. pirmsskolas izglītības iestāde,Rīgas 126. pirmsskolas izglītības iestāde,1638,"24,195011","56,980262",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901687,Pastarpinātās pārvaldes iestāde,16.10.2001,16.10.2001,370105,16.10.2001,"ZEMGAĻU IELA 23b, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,ZEMGAĻU IELA,23b,LV-1006,828,r126pii@riga.lv,,,,,Teika
"Rīgas 13. pirmsskolas izglītības iestāde ""Ābecītis""","Rīgas 13. pirmsskolas izglītības iestāde ""Ābecītis""",1622,"24,088329","56,926308",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901833,Pastarpinātās pārvaldes iestāde,03.12.2001,03.12.2001,380108,03.12.2001,"ALTONAVAS IELA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,ALTONAVAS IELA,1,LV-1004,1767,r13pii@riga.lv,,,,,Torņakalns
